(1,1,"kész",1080,1,2024-2-4 22:5:13),
(2,2,"lemondva",4320,2,2023-11-26 24:43:41),
(3,3,"kész",4320,3,2023-12-20 3:8:58),
(4,4,"kész",4320,4,2024-9-14 18:18:25),
(5,5,"kész",1080,5,2024-1-8 23:27:0),
(6,6,"kész",1080,6,2024-6-16 1:40:37),
(7,7,"kész",3240,7,2024-0-0 17:21:33),
(8,8,"kész",1080,8,2024-9-24 0:16:58),
(9,9,"kész",2160,9,2023-11-4 17:39:12),
(10,10,"lemondva",4320,10,2023-0-14 20:51:14),
(11,11,"folyamatban",1080,11,2023-12-8 1:54:9),
(12,12,"lemondva",4320,12,2024-4-12 6:46:50),
(13,13,"folyamatban",1080,13,2024-4-23 14:8:54),
(14,14,"folyamatban",3240,14,2023-10-28 15:42:54),
(15,15,"kész",3240,15,2024-8-20 19:45:49),
(16,16,"folyamatban",2160,16,2023-4-26 16:17:12),
(17,17,"folyamatban",2160,17,2024-7-19 11:1:41),
(18,18,"lemondva",2160,18,2023-5-23 6:36:45),
(19,19,"kész",2160,19,2024-7-16 14:18:2),
(20,20,"folyamatban",4320,20,2023-7-16 14:30:9);
